a 可
aa 打
aaa 聶
aaaa 攝
aaaa 𮌀
aaae 撖
aaam 顳
aaan 𬻄
aaar 聶
aaav 𭽺
aab 摄
aabb 摄
aabs 𮋼
aabt 𮋼
aabu 掫
aac 揶
aacj 揶
aady 聼
aaeh 敢
aaey 憨
aalv 抲
aano 打
aanr 耵
aap 挝
aapd 挝
aaq 挠
aaqh 挠
aaqm 𭡴
aaro 挕
aarr 聑
aass 摂
aasv 𭠢
aaue 挜
aauj 搢
aauy 𭡵
aav 拣
aavt 拣
aaxg 扽
aaxg 瓲
aaxi 𬼙
ab 切
aba 择
abao 择
abb 聂
abbb 掇
abbb 𭠱
abbd 𭃍
abbf 搡
abbk 颞
abbu 聂
abbw 𭢄
abc 扭
abcc 𭒒
abcj 郰
abcn 娶
abco 扭
abd 据
abdg 据
abdi 切
abdk 掼
abdk 攭
abdm 摜
abds 掾
abe 聚
abec 鄹
abes 聚
abet 聚
abf 揆
abfg 揆
abfg 聧
abfu 撜
abfv 棸
abh 握
abhk 握
abkc 掻
abkk 𮕉
abkw 摨
abl 招
ablm 𭾃
ablo 擗
ablv 招
abm 拇
abmo 拇
abo 搔
abod 扠
abod 扨
abod 択
abok 搔
abor 袃
abox 搱
abrh 𭎵
abri 抳
abri 𮋯
abrm 捤
absg 搌
abt 捅
abtc 𮠇
abte 抉
abtn 捅
abtn 𭺢
abu 取
abug 𭡱
abuj 𭣃
abuo 焣
abuo 𭠎
abur 取
abus 摒
abv 撥
abvl 挶
abvq 撥
abw 摊
abwi 摊
abx 掘
abxx 掘
abyc 撧
abyv 𬻒
ac 把
aca 抿
acac 𭠯
acai 抿
acbo 把
acc 寸
acca 寸
accc ⼨
acct 撰
acdq 鿣
acfl 鿤
acj 耶
acjn 邒
acjr 耶
acjw 邷
acq 揉
acqf 揉
acsw 撱
acu 抒
acuo 抒
acye 鿢
acyi 𭝤
acyn 𬺼
acyo 扡
acyr 𮋭
ad 顶
adb 技
adbg 揳
adbj 𭡳
adbu 技
adcj 挷
adck 𭡳
ade 撕
adej 撕
adf 撼
adfc 揻
